id,name,country,type,subtype,claim_tco2_yr,aoi_or_loc,metric_pre,metric_post,metric_change_pct,implied_claimed,implied_observed,ratio_obs_to_claim,n_observations,implied_capture_rate,severity,scan_status
3348,Huizhou Landfill Gas Power Generation Phase III and IV Project,China,methane,Energy industries (renewable/n,273134,"23.109,114.348",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2573,SANTIAGO PONIENTE LANDFILL GAS PROJECT,Chile,methane,Energy industries (renewable/n,260392,"33.523,70.867",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3225,Yingkou MSW Incineration and Power Generation Project,China,methane,Energy industries (renewable/n,245456,"40.602,121.359",,,,,,,,,outside_cm_coverage,outside_cm_coverage
572,Dalian Maoyingzi Landfill Gas Recovery for Power Generation Project,China,methane,Waste handling and disposal,241053,"39.081,121.656",,,,,,,,,outside_cm_coverage,outside_cm_coverage
5046,Yangquan Guzhuang 8MW CMM Power Generation Project,China,methane,Energy industries (renewable/n,240337,"37.984,113.526",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4963,Liuzhou MSW Incineration Project,China,methane,Energy industries (renewable/n,232709,"24.210,109.466",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2464,Nanning Landfill Gas Power Generation Project,China,methane,Energy industries (renewable/n,231811,"23.012,108.636",,,,,,,,,outside_cm_coverage,outside_cm_coverage
108,Tiefa Coal Mine Methane Utilisation for Power Generation Project,China,methane,Fugitive emissions from fuels ,231759,"42.376,123.614",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3128,Luyi Biogas Recovery and Utilization Project,China,methane,"Livestock, enteric fermentatio",228849,"33.838,115.153",,,,,,,,,outside_cm_coverage,outside_cm_coverage
1446,Sichuan Furong Coal Mine Methane Utilization Project,China,methane,Fugitive emissions from fuels ,215387,"28.442,104.667",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4533,"Tech-Bank Animal Waste Management Systems (AWMS) GHG Mitigation Project in Fuyang, Anhui",China,methane,Energy industries (renewable/n,211574,"32.971,115.075",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3131,Xiping Biogas Recovery and Utilization Project,China,methane,Energy industries (renewable/n,211338,"33.464,113.848",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3135,Henan Grouped Biogas Recovery and Utilization Project,China,methane,Energy industries (renewable/n,210415,"33.760,114.357",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4754,Puning MSW Incineration and Power Generation,China,methane,Energy industries (renewable/n,208814,"23.283,116.067",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2696,Zhengbang AWMS GHG Mitigation Project in Guangdong Province,China,methane,Energy industries (renewable/n,206667,"24.287,113.419",,,,,,,,,outside_cm_coverage,outside_cm_coverage
57,Waste Biomass Utilization at JSC Arkhangelsk Pulp and Paper Mill (APPM),Russian Federation,methane,Waste handling and disposal,204290,"64.417,40.817",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2951,Liaoning Xinwang Swine Farm Manure Management System GHG Mitigation Project,China,methane,Energy industries (renewable/n,201850,"42.906,123.394",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3134,Huaxian Caiying Biogas Recovery and Utilization Project,China,methane,"Livestock, enteric fermentatio",191968,"35.584,114.854",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2072,UK CowCredit project: A UK dairy initiative to reduce methane from enteric fermentation,United Kingdom,methane,"Livestock, enteric fermentatio",187563,"55.370,-3.600",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2098,Nanhai MSW Incineration II Project,China,methane,Energy industries (renewable/n,178556,"23.157,113.033",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3130,Shangcai Xima Biogas Recovery and Utilization Project,China,methane,Energy industries (renewable/n,175870,"33.296,114.585",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4239,WUHE BIOGAS RECOVERY AND UTILIZATION PROJECT,China,methane,Energy industries (renewable/n,173943,"33.101,117.971",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2957,Wuhan Chenjiachong Landfill Gas Power Generation Project Phase II,China,methane,Energy industries (renewable/n,167482,"30.736,114.544",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3980,Xinjiang Muge Swine Farm Manure Management System GHG Mitigation Project,China,methane,Energy industries (renewable/n,165560,"81.783,40.632",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4550,Barka Landfill Gas Recovery Project,Oman,methane,Energy industries (renewable/n,160001,"23.603,57.885",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3653,Xinxiang MSW Incineration Project,China,methane,Energy industries (renewable/n,157862,"35.292,114.144",,,,,,,,,outside_cm_coverage,outside_cm_coverage
